timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1612278789554,89,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,1,1,88,0,50
1612278789648,25,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,1,1,25,0,0
1612278789674,20,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,1,1,20,0,0
1612278789695,21,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,20,0,0
1612278789699,19,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,19,0,1
1612278789716,22,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,22,0,0
1612278789720,21,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,21,0,0
1612278789739,20,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,19,0,0
1612278789741,33,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,33,0,0
1612278789760,26,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,26,0,0
1612278789774,21,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,21,0,0
1612278789788,20,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,20,0,0
1612278789796,23,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,23,0,0
1612278789809,24,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,23,0,0
1612278789820,18,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,18,0,0
1612278789833,20,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,20,0,0
1612278789839,15,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,15,0,0
1612278789854,26,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,2,2,26,0,0
1612278789854,29,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,2,2,25,0,0
1612278789881,37,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,3,3,37,0,0
1612278789883,41,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,3,3,41,0,0
1612278789898,35,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,3,3,35,0,0
1612278789920,16,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,3,3,16,0,0
1612278789924,20,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,3,3,20,0,0
1612278789934,14,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,3,3,14,0,0
1612278789937,16,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,3,3,16,0,0
1612278789945,18,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,3,3,17,0,0
1612278789949,15,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,3,3,15,0,0
1612278789965,13,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,3,3,12,0,0
1612278789954,24,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,3,3,23,0,0
1612278789963,16,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,3,3,14,0,0
1612278789978,13,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,3,3,13,0,0
1612278789978,17,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,3,3,13,0,0
1612278789980,25,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,3,3,25,0,0
1612278789992,16,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,3,3,16,0,0
1612278790006,16,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,3,3,15,0,0
